,id,median_income,year
196,06021,14151,10
197,06023,33373,10
198,06025,43841,10
199,06027,43681,10
200,06029,33447,10
201,06031,59567,10
202,06033,25550,10
203,06035,41708,10
204,06037,42071,10
205,06039,40084,10
206,06041,40282,10
207,06043,41875,10
208,06045,33194,10
209,06047,37633,10
210,06049,-,10
211,06051,40354,10
212,06053,49977,10
213,06055,82778,10
214,06057,26944,10
215,06059,68597,10
216,06061,86525,10
217,06063,42545,10
218,06065,55954,10
219,06067,39628,10
220,06069,26154,10
221,06071,48143,10
222,06073,46947,10
223,06075,30840,10
224,06077,43013,10
225,06079,61153,10
226,06081,51847,10
227,06083,52988,10
228,06085,55541,10
229,06087,49625,10
230,06089,30368,10
231,06091,38182,10
232,06093,19922,10
233,06095,54198,10
234,06097,59138,10
235,06099,41165,10
236,06101,49091,10
237,06103,86250,10
238,06105,-,10
239,06107,31814,10
240,06109,24286,10
241,06111,74299,10
242,06113,32165,10
243,06115,48500,10
244,08001,44240,10
245,08003,-,10
246,08005,39664,10
247,08007,-,10
248,08009,-,10
249,08011,-,10
250,08013,40063,10
251,08014,37083,10
252,08015,-,10
253,08017,-,10
254,08019,-,10
255,08021,-,10
256,08023,-,10
257,08025,-,10
258,08027,-,10
259,08029,-,10
260,08031,31033,10
261,08033,-,10
262,08035,82072,10
263,08037,-,10
264,08039,-,10
265,08041,46115,10
266,08043,-,10
267,08045,57794,10
268,08047,35288,10
269,08049,-,10
270,08051,-,10
271,08053,-,10
272,08055,-,10
273,08057,-,10
274,08059,45077,10
275,08061,-,10
276,08063,-,10
277,08065,13929,10
278,08067,6375,10
279,08069,58548,10
280,08071,7321,10
281,08073,-,10
282,08075,38105,10
283,08077,42157,10
284,08079,-,10
285,08081,-,10
286,08083,-,10
287,08085,-,10
288,08087,25086,10
289,08089,33750,10
290,08091,-,10
291,08093,-,10
292,08095,25000,10
293,08097,-,10
294,08099,-,10
295,08101,32843,10
296,08103,-,10
297,08105,-,10
298,08107,-,10
299,08109,-,10
300,08111,-,10
301,08113,-,10
302,08115,-,10
