,id,unrate
576,16051,4.8
577,16053,5.1
578,16055,7.1
579,16057,7.7
580,16059,5.8
581,16061,6.3
582,16063,5.0
583,16065,9.4
584,16067,4.8
585,16069,5.9
586,16071,7.0
587,16073,8.8
588,16075,8.2
589,16077,6.6
590,16079,10.5
591,16081,5.9
592,16083,4.4
593,16085,4.9
594,16087,9.4
595,17001,6.4
596,17003,11.8
597,17005,5.9
598,17007,8.4
599,17009,5.1
600,17011,6.9
601,17013,5.7
602,17015,6.1
603,17017,8.8
604,17019,5.4
605,17021,5.0
606,17023,8.9
607,17025,5.9
608,17027,4.8
609,17029,7.4
610,17031,9.7
611,17033,6.7
612,17035,6.2
613,17037,9.4
614,17039,7.2
615,17041,5.3
616,17043,6.1
617,17045,9.4
618,17047,7.2
619,17049,4.9
620,17051,8.0
621,17053,7.5
622,17055,10.7
623,17057,7.8
624,17059,9.1
625,17061,7.9
626,17063,7.5
627,17065,4.3
628,17067,6.8
629,17069,18.1
630,17071,7.5
631,17073,5.3
632,17075,6.7
633,17077,9.0
634,17079,4.0
635,17081,9.4
636,17083,7.9
637,17085,4.9
638,17087,8.9
639,17089,6.9
640,17091,8.4
641,17093,5.3
642,17095,6.8
643,17097,7.0
644,17099,9.6
645,17101,5.6
646,17103,6.4
647,17105,6.1
648,17107,7.1
649,17109,9.3
650,17111,6.5
651,17113,4.7
652,17115,10.1
653,17117,9.4
654,17119,8.2
655,17121,9.1
656,17123,5.9
657,17125,10.1
658,17127,7.8
659,17129,5.7
660,17131,6.1
661,17133,4.6
662,17135,5.7
663,17137,7.2
664,17139,4.0
665,17141,6.5
666,17143,8.2
667,17145,6.6
668,17147,6.3
669,17149,6.6
670,17151,8.5
671,17153,11.9
672,17155,5.8
673,17157,5.2
674,17159,5.6
675,17161,7.7
676,17163,8.3
677,17165,12.4
678,17167,7.5
679,17169,6.2
680,17171,9.7
681,17173,5.4
682,17175,6.9
683,17177,8.5
684,17179,5.1
685,17181,6.3
686,17183,9.7
687,17185,8.6
688,17187,8.1
689,17189,5.4
690,17191,5.2
691,17193,8.5
692,17195,6.8
693,17197,6.8
694,17199,7.6
695,17201,10.5
696,17203,5.3
697,18001,5.5
698,18003,7.0
699,18005,5.2
700,18007,4.6
701,18009,8.3
702,18011,3.3
703,18013,5.6
704,18015,6.9
705,18017,7.6
706,18019,6.2
707,18021,6.4
708,18023,6.0
709,18025,6.3
710,18027,5.5
711,18029,7.1
712,18031,5.3
713,18033,6.2
714,18035,9.4
715,18037,2.9
716,18039,6.5
717,18041,9.2
718,18043,6.4
719,18045,8.0
720,18047,6.0
721,18049,6.0
722,18051,3.9
723,18053,8.1
724,18055,6.2
725,18057,3.5
726,18059,4.9
727,18061,6.7
728,18063,5.0
729,18065,8.4
730,18067,7.6
731,18069,5.2
732,18071,5.6
733,18073,6.4
734,18075,7.6
735,18077,7.4
736,18079,6.7
737,18081,5.5
738,18083,5.3
739,18085,5.3
740,18087,4.1
741,18089,9.6
742,18091,8.8
743,18093,5.6
744,18095,7.8
745,18097,9.0
746,18099,7.7
747,18101,5.4
748,18103,8.9
749,18105,6.6
750,18107,5.4
751,18109,6.4
752,18111,7.2
753,18113,7.0
754,18115,5.9
755,18117,5.5
756,18119,6.8
757,18121,7.0
758,18123,4.1
759,18125,3.9
760,18127,6.3
761,18129,4.6
762,18131,7.0
763,18133,6.5
764,18135,6.4
765,18137,6.6
766,18139,5.7
767,18141,7.5
768,18143,6.7
769,18145,7.7
770,18147,5.7
771,18149,9.5
772,18151,5.9
773,18153,5.6
774,18155,6.9
775,18157,6.2
776,18159,5.3
777,18161,5.4
778,18163,5.7
779,18165,6.2
780,18167,8.1
781,18169,5.9
782,18171,5.0
783,18173,4.5
784,18175,8.7
785,18177,7.3
786,18179,3.8
787,18181,5.4
788,18183,4.7
789,19001,2.8
790,19003,3.1
791,19005,4.7
792,19007,6.6
793,19009,2.8
794,19011,3.8
795,19013,6.3
796,19015,4.3
797,19017,3.2
798,19019,3.8
799,19021,4.5
800,19023,3.2
801,19025,2.7
802,19027,2.6
803,19029,3.3
804,19031,3.3
805,19033,4.1
806,19035,3.2
807,19037,3.2
808,19039,4.6
809,19041,3.3
810,19043,4.0
811,19045,4.6
812,19047,5.7
813,19049,2.2
814,19051,4.1
815,19053,5.8
816,19055,3.4
817,19057,5.7
818,19059,3.4
819,19061,4.0
820,19063,5.3
821,19065,4.3
822,19067,3.5
823,19069,5.4
824,19071,3.9
825,19073,5.8
826,19075,3.8
827,19077,3.3
828,19079,3.0
829,19081,1.8
830,19083,3.4
831,19085,2.8
832,19087,4.9
833,19089,3.7
834,19091,3.9
835,19093,3.6
836,19095,1.8
837,19097,4.8
838,19099,4.9
839,19101,6.6
840,19103,3.2
841,19105,4.5
842,19107,5.5
843,19109,1.8
844,19111,7.9
845,19113,4.2
846,19115,4.3
847,19117,5.1
848,19119,1.9
849,19121,4.8
850,19123,6.3
851,19125,3.9
852,19127,5.9
853,19129,3.9
854,19131,3.6
855,19133,4.1
856,19135,5.9
857,19137,8.4
858,19139,4.5
859,19141,2.7
860,19143,2.7
861,19145,4.3
862,19147,2.0
863,19149,3.6
864,19151,4.8
865,19153,5.2
866,19155,4.9
867,19157,4.3
868,19159,5.3
869,19161,3.9
870,19163,4.9
871,19165,3.3
872,19167,1.8
873,19169,5.2
874,19171,5.7
875,19173,3.3
876,19175,4.1
877,19177,3.7
878,19179,7.0
879,19181,5.2
880,19183,4.2
881,19185,3.0
882,19187,6.6
883,19189,6.6
884,19191,2.5
885,19193,5.0
886,19195,6.3
887,19197,6.2
888,20001,5.3
889,20003,3.7
890,20005,6.7
891,20007,3.2
892,20009,5.5
893,20011,2.5
894,20013,3.9
895,20015,5.3
896,20017,4.1
897,20019,6.2
898,20021,6.5
899,20023,1.7
900,20025,1.9
901,20027,3.1
902,20029,5.9
903,20031,4.8
904,20033,4.7
905,20035,6.2
906,20037,5.8
907,20039,2.8
908,20041,5.6
909,20043,5.1
910,20045,5.3
911,20047,1.6
912,20049,5.8
913,20051,3.4
914,20053,3.4
915,20055,4.8
916,20057,7.2
917,20059,6.0
918,20061,9.2
919,20063,1.8
920,20065,1.6
921,20067,5.0
922,20069,3.0
923,20071,1.2
924,20073,4.1
925,20075,1.8
926,20077,4.4
927,20079,3.7
928,20081,3.9
929,20083,1.4
930,20085,5.2
931,20087,7.1
932,20089,2.2
933,20091,4.1
934,20093,2.3
935,20095,5.5
936,20097,3.9
937,20099,5.3
938,20101,3.6
939,20103,5.0
940,20105,6.6
941,20107,6.6
942,20109,3.6
943,20111,6.6
944,20113,2.4
945,20115,4.7
946,20117,3.3
947,20119,2.4
948,20121,4.3
949,20123,2.8
950,20125,7.4
951,20127,2.7
952,20129,7.9
953,20131,1.8
954,20133,3.4
955,20135,3.3
956,20137,1.7
957,20139,7.9
958,20141,3.8
959,20143,4.2
960,20145,1.2
961,20147,3.0
962,20149,4.3
963,20151,5.3
964,20153,2.4
965,20155,5.2
966,20157,3.6
967,20159,5.4
968,20161,5.7
969,20163,4.1
970,20165,5.2
971,20167,6.5
972,20169,4.5
973,20171,4.8
974,20173,6.0
975,20175,8.5
976,20177,6.0
977,20179,1.4
978,20181,3.7
979,20183,3.6
980,20185,3.5
981,20187,1.1
982,20189,3.7
983,20191,6.0
984,20193,1.9
985,20195,1.4
986,20197,4.7
987,20199,6.6
988,20201,2.9
989,20203,2.6
990,20205,5.7
991,20207,5.7
992,20209,9.3
993,21001,5.8
994,21003,7.1
995,21005,7.4
996,21007,5.3
997,21009,7.6
998,21011,9.6
999,21013,10.6
1000,21015,5.3
1001,21017,7.7
1002,21019,8.5
1003,21021,5.6
1004,21023,8.8
1005,21025,12.0
1006,21027,10.3
1007,21029,6.7
1008,21031,5.4
1009,21033,8.0
1010,21035,6.9
1011,21037,5.8
1012,21039,7.9
1013,21041,10.9
1014,21043,10.8
1015,21045,9.3
1016,21047,10.4
1017,21049,6.9
1018,21051,11.7
1019,21053,8.9
1020,21055,6.1
1021,21057,7.2
1022,21059,6.5
1023,21061,10.1
1024,21063,7.6
1025,21065,13.7
1026,21067,6.4
1027,21069,9.9
1028,21071,11.2
1029,21073,7.8
1030,21075,10.5
1031,21077,6.0
1032,21079,8.9
1033,21081,6.2
1034,21083,8.4
1035,21085,6.9
1036,21087,7.5
1037,21089,9.5
1038,21091,6.6
1039,21093,7.6
1040,21095,10.3
1041,21097,6.9
1042,21099,6.9
1043,21101,6.4
1044,21103,6.4
1045,21105,7.2
1046,21107,6.4
1047,21109,12.8
1048,21111,7.2
1049,21113,8.0
1050,21115,10.2
1051,21117,6.5
1052,21119,14.8
1053,21121,13.3
1054,21123,7.7
1055,21125,9.9
1056,21127,8.8
1057,21129,13.8
1058,21131,17.0
1059,21133,12.9
1060,21135,6.8
1061,21137,10.7
1062,21139,5.1
1063,21141,7.4
1064,21143,5.8
1065,21145,5.1
1066,21147,17.6
1067,21149,7.4
1068,21151,7.7
1069,21153,12.6
1070,21155,8.7
1071,21157,6.8
1072,21159,18.6
1073,21161,6.6
1074,21163,9.0
1075,21165,10.7
1076,21167,9.3
1077,21169,7.1
1078,21171,9.0
1079,21173,8.9
1080,21175,8.5
1081,21177,8.4
1082,21179,7.1
1083,21181,7.8
1084,21183,10.7
1085,21185,4.1
1086,21187,8.5
1087,21189,8.4
1088,21191,5.6
1089,21193,15.2
1090,21195,10.2
1091,21197,7.4
1092,21199,9.2
1093,21201,5.8
1094,21203,11.2
